actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
-252.7612,27.448238,224.0833,1.0,0.34013993,-1.0,61,0.87434065,61,61.0,61,1,0.0,299.77471685409546,299.77471685409546,299.77471685409546,1,0.0,-0.0017210517765362402,None,None,None,None,None,None,8000.0,0.2971150875091553,8001.0,0.2971150875091553,8001.0
-117.76126,12.135595,96.5337,1.0,0.3679024,-1.0,78,0.8724925,57,39.0,21,2,18.0,281.08722829818726,201.4846806526184,121.88213300704956,2,79.60254764556885,0.16519370641044856,34.93805309734513,565.5740551948547,177.83126639475864,78.32267236709595,113,103.02517523357412,8113.0,29.329827547073364,4000.0,29.62780213356018,12001.0
-172.39644,14.684906,152.93333,1.0,0.38699955,-1.0,190,0.86691236,127,95.0,63,2,32.0,665.2348074913025,472.586562871933,279.9383182525635,2,192.6482446193695,0.34749928,81.9795918367347,805.9913692474365,411.9982390549718,249.78912115097046,49,130.39307357774834,8162.0,30.150081396102905,4000.0,59.79666614532471,16001.0
-220.9514,23.221624,206.34193,1.0,0.4447153,-1.0,35,0.8515098,35,35.0,35,1,0.0,185.01425647735596,185.01425647735596,185.01425647735596,1,0.0,0.3574196,93.71428571428571,851.1162061691284,461.3207270758493,271.2938594818115,42,138.74601508676577,8204.0,31.643146276474,4000.0,91.45578861236572,20001.0
-263.73535,25.837948,251.34239,1.0,0.37220836,-1.0,229,0.8782485,115,114.5,114,2,0.5,612.7089800834656,571.6121296882629,530.5152792930603,2,41.09685039520264,0.36038908,110.45945945945945,959.2106924057007,543.1342973709106,342.6381242275238,37,129.3970055813242,8241.0,31.2546226978302,4000.0,122.7271203994751,24001.0
-278.41968,23.572765,266.55682,1.0,0.26397607,-1.0,28,0.9462063,28,28.0,28,1,0.0,99.80040550231934,99.80040550231934,99.80040550231934,1,0.0,0.31809,112.2,930.012885093689,554.933545923233,354.24421739578247,35,132.31733561623608,8276.0,30.041579008102417,4000.0,152.78642320632935,28001.0
-280.1433,26.717066,268.50766,1.0,0.39172882,-1.0,188,0.87419766,109,94.0,79,2,15.0,568.6327681541443,469.0534543991089,369.4741406440735,2,99.5793137550354,0.31234095,108.70270270270271,1038.5625834465027,527.0992270804741,381.95693922042847,37,144.389092195403,8313.0,31.61360192298889,4000.0,184.41577291488647,32001.0
-278.45428,28.24179,266.3901,1.0,0.294996,-1.0,39,0.9161034,39,39.0,39,1,0.0,229.12227821350098,229.12227821350098,229.12227821350098,1,0.0,0.2917996,97.97560975609755,853.3442559242249,481.21197706897084,279.06998443603516,41,133.9131355756916,8354.0,30.642625331878662,4000.0,215.07421875,36001.0
-278.17316,26.89774,264.68723,1.0,0.31774345,-1.0,229,0.9115821,116,114.5,113,2,1.5,559.186799287796,558.2151614427567,557.2435235977173,2,0.9716378450393677,0.2715117,100.875,846.7566776275635,507.344207662344,274.8096857070923,40,128.24411446523976,8394.0,30.761649131774902,4000.0,245.85135173797607,40001.0
-271.41757,22.983929,258.528,1.0,0.1350208,-1.0,1,0.8717092,1,1.0,1,1,0.0,5.491850852966309,5.491850852966309,5.491850852966309,1,0.0,0.23674501,100.76923076923077,758.3556237220764,504.2829583485921,292.1922707557678,39,116.37911387289182,8433.0,30.725189924240112,4000.0,276.5923812389374,44001.0
