actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
0.97422016,0.008166695,10.574957,-0.003948303,0.008395048,0.005746045,1.8137609,34.28503,34.3094,1.7834759,49.606186,9.673909,52.1067,0.9992924,0.20504357,-0.9563662,71,0.48296967,71,71.0,71,1,0.0,387.96202516555786,387.96202516555786,387.96202516555786,1,0.0,0.12865402,41.91596638655462,675.1420679092407,215.243479528347,77.79147100448608,119,119.88372097242731,119.0,73.21007132530212,5000.0,73.21007132530212,5000.0
0.40489978,0.0051848367,11.721458,-0.0027381843,0.0016984598,0.0047308323,2.9714417,34.236362,34.23723,2.8860009,72.16118,0.82553136,71.2872,0.99983776,0.22211555,-0.9335991,26,0.47563702,26,26.0,26,1,0.0,156.12621879577637,156.12621879577637,156.12621879577637,1,0.0,0.19844912,73.7910447761194,793.1442952156067,390.9746669263982,280.5989775657654,67,110.35212495929018,186.0,94.59480929374695,5000.0,167.89715933799744,10000.0
0.1256105,0.0016843143,12.883582,-0.00219419,0.0004510642,0.0043843985,4.333021,33.88209,33.878933,2.7744472,76.46002,0.6203371,76.00537,0.9999049,0.24190375,-0.9076217,21,0.49635074,21,21.0,21,1,0.0,127.20546531677246,127.20546531677246,127.20546531677246,1,0.0,0.20239776,71.85714285714286,735.2440099716187,384.20443801879884,260.6222357749939,70,87.31515480431244,256.0,89.6926109790802,5000.0,257.7071225643158,15000.0
0.041220967,0.00050930725,13.978947,-0.0019527824,0.00019144929,0.0043292036,5.748256,33.56606,33.56257,2.2803798,77.73191,0.5769115,77.57078,0.9999407,0.17422824,-0.9636882,85,0.5042806,85,85.0,85,1,0.0,467.0586647987366,467.0586647987366,467.0586647987366,1,0.0,0.19844499,68.93150684931507,663.8884429931641,369.411479035469,278.1702995300293,73,70.76375385768064,329.0,88.60287189483643,5000.0,346.42268323898315,20000.0
0.015272742,0.00015875662,14.997596,-0.0018273911,0.00010088,0.0043769823,7.1829205,33.316612,33.313026,2.063227,78.50264,0.5135224,78.514915,0.99342173,-0.0012441593,-0.8005564,1,0.5506682,1,1.0,1,1,0.0,6.539212703704834,6.539212703704834,6.539212703704834,1,0.0,0.19867946,68.45833333333333,701.80952501297,373.2768163084984,296.3930082321167,72,66.50016003695772,401.0,90.96838116645813,5000.0,437.54517579078674,25000.0
0.006872875,5.108992e-05,15.948519,-0.0017158672,6.574898e-05,0.0044271154,8.607942,33.112606,33.108788,1.9710846,79.35916,0.87404406,79.457985,0.9997485,0.048821013,-0.9818214,30,0.67119163,30,30.0,30,1,0.0,182.1668791770935,182.1668791770935,182.1668791770935,1,0.0,0.21271153,75.31343283582089,778.1232271194458,407.96309658662597,256.57638597488403,67,87.41443953179616,468.0,90.51750707626343,5000.0,528.1783540248871,30000.0
0.004004133,1.8225686e-05,16.8228,-0.0016223496,4.984458e-05,0.004482226,9.996746,32.954727,32.950558,1.9412882,79.989296,0.6402943,80.178185,0.9962896,-0.015548484,-0.96654195,23,0.6598368,23,23.0,23,1,0.0,136.10288906097412,136.10288906097412,136.10288906097412,1,0.0,0.23030436,79.15873015873017,661.9413523674011,421.5804487674955,298.7655372619629,63,87.0379726372022,531.0,92.69054341316223,5000.0,621.0024480819702,35000.0
0.0027638255,7.475109e-06,17.636106,-0.0015702051,3.9509927e-05,0.0045683426,11.304742,32.836445,32.83193,1.8868855,80.363014,0.6358573,80.630875,0.9999208,0.19635665,-0.9919797,139,0.5833321,139,139.0,139,1,0.0,736.8403429985046,736.8403429985046,736.8403429985046,1,0.0,0.22288904,83.86666666666666,757.62699842453,443.9153984149297,202.49393701553345,60,115.08225232347085,591.0,91.62692666053772,5000.0,712.7557942867279,40000.0
0.002127325,3.5921812e-06,18.385994,-0.0015029425,3.257234e-05,0.004628561,12.384534,32.7237,32.71895,1.8418581,80.68755,0.63061744,81.01593,0.99989355,0.1625754,-0.99527264,44,0.6565996,44,44.0,44,1,0.0,252.84079790115356,252.84079790115356,252.84079790115356,1,0.0,0.21490228,76.49230769230769,570.975296497345,408.14607321665835,278.5412595272064,65,68.97174524299592,656.0,90.2584912776947,5000.0,803.1358659267426,45000.0
0.0019607907,1.2695245e-06,19.086422,-0.0014290292,3.206392e-05,0.0046737213,12.82019,32.63099,32.625935,1.798562,81.01184,0.6444,81.38554,0.99993676,0.28497246,-0.99367046,44,0.6228865,44,44.0,44,1,0.0,255.9369068145752,255.9369068145752,255.9369068145752,1,0.0,0.20030202,83.45,788.9827284812927,449.3119117498398,292.56897497177124,60,93.47252193956018,716.0,87.95203852653503,5000.0,891.2017920017242,50000.0
0.0018493877,1.3867256e-06,19.744112,-0.001416038,3.0052865e-05,0.0047725374,12.83537,32.5411,32.535988,1.7594196,81.41812,0.6384249,81.82701,0.999527,-0.02064215,-0.9957792,30,0.68330246,30,30.0,30,1,0.0,182.04285192489624,182.04285192489624,182.04285192489624,1,0.0,0.1936676,81.80327868852459,669.2025828361511,444.91400173062186,319.3899621963501,61,80.51122347247038,777.0,85.01999640464783,5000.0,976.3234062194824,55000.0
0.0017681512,1.1965125e-06,20.379305,-0.0014035596,2.886206e-05,0.0048680413,12.820612,32.461273,32.455944,1.731491,81.85725,0.64615047,82.284935,0.9999542,-0.058910627,-0.99914163,6,0.79945266,6,6.0,6,1,0.0,40.41792297363281,40.41792297363281,40.41792297363281,1,0.0,0.17278121,80.09677419354838,947.3843402862549,439.845060959939,298.01194953918457,62,98.24699379878227,839.0,84.47273516654968,5000.0,1060.9068694114685,60000.0
0.0016899146,9.599986e-07,20.999096,-0.0014116764,2.7768552e-05,0.004981523,12.799081,32.397083,32.39161,1.7345668,82.29084,0.8180819,82.72097,0.99993354,0.038317516,-0.9991194,17,0.7264797,17,17.0,17,1,0.0,110.488516330719,110.488516330719,110.488516330719,1,0.0,0.15020962,78.40625,966.7439017295837,433.8710338547826,293.92258071899414,64,97.03927752314303,903.0,82.77878999710083,5000.0,1143.7999153137207,65000.0
0.0016078969,1.3502851e-06,21.582413,-0.0013641007,2.598396e-05,0.005033111,12.777383,32.336575,32.330887,1.7481735,82.69472,0.78487825,83.12631,0.99979377,-0.050732277,-0.9991945,16,0.7393947,16,16.0,16,1,0.0,106.53104877471924,106.53104877471924,106.53104877471924,1,0.0,0.15486123,80.5,674.1735644340515,442.7244028468286,302.65771770477295,62,78.96706039158802,965.0,84.82981896400452,5000.0,1228.7421433925629,70000.0
0.0014835827,6.994046e-07,22.150812,-0.0013587637,2.45215e-05,0.0051244018,12.75933,32.27273,32.266895,1.7565027,83.11873,0.81702256,83.55508,0.99937105,0.05604039,-0.99900866,3,0.730267,3,3.0,3,1,0.0,20.426921367645264,20.426921367645264,20.426921367645264,1,0.0,0.13473767,80.08064516129032,816.930965423584,442.58504198443507,281.4433693885803,62,88.559860073206,1027.0,88.52587342262268,5000.0,1317.3761703968048,75000.0
