actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
-75.63968,16.894203,64.689285,1.0,0.27190155,-1.0,63,0.8702373,63,63.0,63,1,0.0,305.68301248550415,305.68301248550415,305.68301248550415,1,0.0,-0.002934311025098487,23.22093023255814,205.91259574890137,116.40679184226103,83.22553539276123,172,29.933824674600196,172.0,24.869750261306763,4000.0,24.869750261306763,4000.0
-115.821686,11.490653,88.93544,1.0,0.28363356,-1.0,26,0.87192494,26,26.0,26,1,0.0,137.85597705841064,137.85597705841064,137.85597705841064,1,0.0,0.003999804422919733,24.13939393939394,260.331910610199,121.39346248742306,78.36993312835693,165,37.95520778017193,337.0,30.19594717025757,4000.0,55.08101177215576,8000.0
-141.93442,15.871754,106.29039,1.0,0.27414778,-1.0,125,0.87283885,80,62.5,45,2,17.5,405.139564037323,318.8301784992218,232.5207929611206,2,86.3093855381012,0.15590807257096242,37.783018867924525,644.9048280715942,189.5827151019618,78.42783975601196,106,126.16334182134113,443.0,31.163147449493408,4000.0,86.26165390014648,12000.0
-193.2232,15.059606,163.53539,1.0,0.45250788,-1.0,58,0.83684915,58,58.0,58,1,0.0,330.43091440200806,330.43091440200806,330.43091440200806,1,0.0,0.4182739,90.56818181818181,911.6926283836365,461.76779576323247,286.83529329299927,44,123.0068346233585,487.0,32.7398738861084,4000.0,119.01846671104431,16000.0
-235.4884,16.151491,222.02066,1.0,0.39568016,-1.0,199,0.8539861,109,99.5,90,2,9.5,535.2379231452942,516.6935932636261,498.149263381958,2,18.54432988166809,0.38383758,97.58536585365853,870.3803448677063,498.66148153747,319.21129989624023,41,102.69419121176797,528.0,33.147876501083374,4000.0,152.18342065811157,20000.0
-252.72787,17.963352,242.33684,1.0,0.33949044,-1.0,87,0.88393545,87,87.0,87,1,0.0,468.1915783882141,468.1915783882141,468.1915783882141,1,0.0,0.34736416,95.64285714285714,816.1455700397491,487.52085346267336,323.80748891830444,42,93.90558285347339,570.0,32.94445013999939,4000.0,185.14527416229248,24000.0
-262.94482,14.684645,252.15485,1.0,0.34332538,-1.0,88,0.8860791,63,44.0,25,2,19.0,332.31983518600464,233.24551010131836,134.17118501663208,2,99.07432508468628,0.32174185,106.13513513513513,912.2791409492493,547.7017529526272,350.27142000198364,37,107.13143653820163,607.0,32.66078495979309,4000.0,217.82305717468262,28000.0
-278.4739,17.68575,267.4495,1.0,0.2783842,-1.0,81,0.92116547,81,81.0,81,1,0.0,430.3259811401367,430.3259811401367,430.3259811401367,1,0.0,0.2770774,112.30555555555556,953.0908269882202,568.6239057117039,304.9575729370117,36,133.8244732169809,643.0,33.50544548034668,4000.0,251.3452889919281,32000.0
-285.03043,16.901276,274.38156,1.0,0.25947765,-1.0,108,0.90945977,103,54.0,5,2,49.0,554.7348098754883,291.9184296131134,29.102049350738525,2,262.8163802623749,0.28789708,109.66666666666667,873.5693955421448,560.6364893449677,316.90208673477173,36,139.30110927823074,679.0,32.54145002365112,4000.0,283.90439224243164,36000.0
-283.24738,22.351068,271.923,1.0,0.27948913,-1.0,50,0.9131004,50,50.0,50,1,0.0,278.39084005355835,278.39084005355835,278.39084005355835,1,0.0,0.28382993,101.8,845.5297808647156,526.3021762251853,320.67974948883057,40,116.3071276995398,719.0,33.53053951263428,4000.0,317.4517123699188,40000.0
