actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
1.3114927,0.013288637,10.000764,-0.004177054,0.0090067405,0.0058771838,1.3157146,-2.096802,-2.1082964,1.3107593,113.79612,0.41837803,113.7245,0.99999976,0.13013813,-0.9999859,985,0.7003093,312,197.0,104,5,90.72155201494296,2176.8040080070496,1389.3208203315735,708.1998071670532,5,652.7638169681707,0.14159243,None,None,None,None,None,None,730000.0,1.2003016471862793,730001.0,1.2003016471862793,730001.0
1.1229348,0.0020536922,10.288685,-0.0008195488,0.0170362,0.0025686251,1.9971061,3.910321,3.889679,1.3559375,121.38715,3.1689508,121.64076,0.99999875,0.13948661,-0.9999811,794,0.70731056,231,158.8,75,5,50.98391903335796,1702.2064499855042,1135.4063991546632,582.2195010185242,5,358.2503680489287,0.14385389,146.57575757575756,1607.3093390464783,1002.2741822762923,614.3986549377441,33,233.42737006538903,730033.0,60.99791502952576,5000.0,62.200881242752075,735001.0
0.8681693,0.0006514141,11.273619,-0.0010274159,0.014107465,0.002943931,3.2368472,3.753629,3.729507,1.3822838,122.99309,1.0826802,122.96777,0.99999964,0.12815179,-0.99992776,821,0.6984268,235,164.2,17,5,78.8755982544665,1727.8929929733276,1190.0660471916199,128.4095950126648,5,561.9248564839205,0.14538716,137.0,2000.3567485809326,949.3904143281885,603.4501914978027,37,307.2649745861161,730070.0,75.7337076663971,5000.0,138.04842400550842,740001.0
0.7400874,0.00026827067,12.218397,-0.0010078205,0.012313216,0.003084948,4.4671164,3.578281,3.5524712,1.5710262,124.11245,1.4912939,123.971634,0.9999962,0.11601563,-0.999989,1054,0.6870933,354,210.8,99,5,86.87554316376963,2577.895139694214,1506.941294670105,688.5598754882812,5,648.494675800553,0.12902227,159.09677419354838,1827.3525924682617,1115.4728051308662,590.7931041717529,31,316.6499020554722,730101.0,74.09246635437012,5000.0,212.29965257644653,745001.0
0.6646709,0.0002348314,13.086978,-0.0009872246,0.011064574,0.003212011,5.4767585,3.5244508,3.4980352,1.6677709,125.29445,2.0507157,125.0641,0.99999994,0.114320025,-0.99999493,896,0.6894819,251,179.2,32,5,77.37803305848502,1820.4161138534546,1293.3270656585694,191.40504932403564,5,580.6031161403237,0.12769338,151.96969696969697,1961.4950304031372,1061.361071471012,506.62473011016846,33,292.23756443972314,730134.0,74.6667902469635,5000.0,287.07843017578125,750001.0
0.61125934,0.0001646402,13.8594055,-0.0009595702,0.010226768,0.0033156693,5.8192353,3.4189079,3.3919907,1.7476852,125.84795,2.3276277,125.5282,0.9999998,0.1273006,-0.9999826,891,0.69163483,267,178.2,22,5,83.48269281713425,1925.101348400116,1242.3680047035218,131.2470579147339,5,598.9756611566039,0.12885436,146.91176470588235,1818.0759410858154,1025.1210043851067,533.3882665634155,34,294.2411933168307,730168.0,75.31437349319458,5000.0,362.5061297416687,755001.0
0.56405085,0.00020045042,14.53226,-0.0009295183,0.009388415,0.0034000024,5.811221,3.3820977,3.3549938,1.7793188,126.15445,2.6875029,125.78842,0.9999997,0.14536907,-0.99999267,856,0.6928898,232,171.2,99,5,45.41101188037985,1596.813566684723,1186.4519814491273,705.879885673523,5,315.15555912923946,0.13270564,159.40625,2202.698675632477,1109.867291033268,507.0845227241516,32,392.73848389131706,730200.0,74.48416352272034,5000.0,437.10321259498596,760001.0
0.51573974,0.00021312152,15.136444,-0.00095334166,0.008554455,0.003526537,5.7844734,3.3828988,3.3553617,1.7931606,126.39752,2.9807851,125.978676,0.99999887,0.12210985,-0.9999874,1065,0.67387176,304,213.0,116,5,70.74461110218927,2090.378252029419,1457.630047416687,767.8209052085876,5,495.8790612358296,0.13028388,165.2,2288.2254905700684,1133.8435325463613,476.6802463531494,30,517.2529559222633,730230.0,75.06827211380005,5000.0,512.2821261882782,765001.0
0.48020285,7.963765e-05,15.654981,-0.0009276127,0.008083812,0.0035889596,5.7500405,3.3236523,3.2958422,1.791509,126.73737,3.1888175,126.29396,0.9999973,0.12463179,-0.9999651,888,0.68224674,296,177.6,91,5,69.83007947868883,2177.140552997589,1258.485496044159,632.2423057556152,5,529.4554776546518,0.13432047,180.85714285714286,2051.337422847748,1258.8570182664055,718.2469172477722,28,307.0450574370084,730258.0,76.07364916801453,5000.0,588.4683609008789,770001.0
0.45396677,0.00012420004,16.127666,-0.0009386859,0.007593236,0.003680389,5.7173166,3.2469625,3.2189894,1.7574289,126.99035,3.2809465,126.51845,0.99999994,0.13813381,-0.99991494,825,0.67624927,260,165.0,12,5,92.24315692776348,1900.61470413208,1179.422843170166,85.83142852783203,5,664.345316874554,0.13914366,162.06666666666666,1918.5909872055054,1117.2302432696024,521.4400062561035,30,355.0980418655863,730288.0,75.69780373573303,5000.0,664.2766373157501,775001.0
0.4219864,0.00015794502,16.549189,-0.00092735444,0.0070158234,0.0037407158,5.674203,3.1189039,3.0908155,1.7207965,127.08602,3.5946667,126.61229,1.0,0.1072254,-0.9999715,1448,0.66634905,425,289.6,212,5,76.24067156052602,2956.6918320655823,2048.285845565796,1515.7269067764282,5,532.8803489716754,0.14241675,178.0344827586207,2461.812475204468,1243.0083184899954,609.3388857841492,29,423.94444060850384,730317.0,76.87141847610474,5000.0,741.2540946006775,780001.0
0.39942858,-2.0973339e-05,16.870064,-0.0008934042,0.0068112593,0.0037613155,5.6419635,2.9901874,2.961758,1.7215796,127.32534,3.825693,126.83952,0.99999964,0.1294841,-0.9999893,952,0.67588305,245,190.4,154,5,35.30778950883218,1752.5301513671875,1329.708996963501,1048.6206278800964,5,287.96580341099354,0.13315788,178.82142857142858,2413.472774028778,1239.976156081472,443.88835859298706,28,454.9016952737271,730345.0,75.26456475257874,5000.0,816.6277358531952,785001.0
